연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2023-01-31,2023-01-31~2023-02-28,(주)화진산업,배송·납품 운전원(납품영업 포함),상용직,월급,2400000,무관,무관,무관,,    ,대구광역시 동구 안심로65길 13 (각산동) (주)화진산업,중소,대구지역본부,2023-01-31,1588-1519
2,2023-01-31,2023-01-31~2023-02-28,(주)서한,총무 및 일반 사무원,계약직,월급,2100000,무관,무관,고졸,,    ,대구광역시 수성구 명덕로 415  (수성동2가),중소,대구지역본부,2023-02-02,1588-1519
3,2023-01-31,2023-01-31~2023-02-28,(주)서한,건설현장반장,계약직,월급,2300000,무관,무관,고졸,,    ,대구광역시 수성구 명덕로 415  (수성동2가),중소,대구지역본부,2023-02-02,1588-1519
4,2023-01-31,2023-01-31~2023-03-30,주식회사 가천누리,기타 보건·의료 서비스 종사원,계약직,시급,9620,무관,무관,무관,,    ,인천광역시 남동구 구월남로 174 8층 803호 (구월동),중소,인천지사,2023-01-31,1588-1519
5,2023-01-31,2023-01-31~2023-02-24,빌트조명(주),LED 부품·제품 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,경기도 김포시 양촌읍 황금로291번길 12 본관,중소,인천지사,2023-01-31,1588-1519
6,2023-01-31,2023-01-31~2023-03-31,주식회사 리치룩스,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,광주광역시 북구 첨단벤처로28번길 7 (주)리치룩스(대촌동),중소,광주지역본부,2023-01-31,1588-1519
7,2023-01-31,2023-01-31~2023-03-31,(주)늘찬애,육류 가공기계 조작원,상용직,월급,2010580,무관,0년개월,무관,,    ,전라남도 담양군 창평면 죽항길 8 .,중소,광주지역본부,2023-01-31,1588-1519
8,2023-01-31,2023-01-31~2023-02-13,케이아이테크놀로지,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,충청남도 금산군 추부면 서대산로 471 케이아이산업,개인,대전지역본부,2023-01-31,1588-1519
9,2023-01-31,2023-01-31~2023-02-28,(주)아이컴포넌트,총무 및 일반 사무원,상용직,연봉,26000000,무관,무관,초대졸,,    ,경기도 평택시 팽성읍 추팔산단1길 23 .,중소,경기지역본부,2023-02-01,1588-1519
10,2023-01-31,2023-01-31~2023-02-28,(주)아이컴포넌트,환경 미화원,상용직,월급,2070000,무관,무관,무관,,    ,경기도 평택시 팽성읍 추팔산단1길 23 .,중소,경기지역본부,2023-02-01,1588-1519
11,2023-01-31,2023-01-31~2023-02-17,경동제약(주),"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,경기도 화성시 양감면 제약단지로 224-3 경동제약,중소,경기지역본부,2023-01-31,1588-1519
12,2023-01-31,2023-01-31~2023-02-24,(주)동양피엘티,자동차 부분품 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,"경기도 화성시 동탄면 동탄산단8길 41 (방교리), (주) 동양피엘티",중소,경기지역본부,2023-01-31,1588-1519
13,2023-01-31,2023-01-31~2023-02-03,스위트위드 주식회사,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,경기도 평택시 진위면 경기대로 1952 스위트위드(주),중소,경기지역본부,2023-01-31,1588-1519
14,2023-01-31,2023-01-31~2023-02-22,(주)효성조명,LED 부품·제품 조립·검사원,상용직,시급,9320,무관,0년개월,무관,,    ,경기도 화성시 정남면 괘랑2길17번길 45-12 (주)효성조명,중소,경기지역본부,2023-01-31,1588-1519
15,2023-01-31,2023-01-31~2023-02-24,(주)선텍,LED 부품·제품 조립·검사원,상용직,시급,9620,무관,무관,무관,전자공학,    ,경기도 화성시 비봉면 주석로 428-9 이레테크노파크 C1동,중소,경기지역본부,2023-01-31,1588-1519
16,2023-01-31,2023-01-31~2023-02-18,주식회사 엠케이21,아파트·빌라 경비원,상용직,월급,2300000,무관,무관,무관,,    ,강원도 춘천시 금강로 26 엠케이21 (소양로3가),중소,강원지사,2023-01-31,1588-1519
17,2023-01-31,2023-01-31~2023-04-20,주식회사 케이펙,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),상용직,연봉,12120000,무관,무관,무관,,    ,"강원도 강릉시 정원로 54 9층 (교동, 주니어타운)",중소,강원지사,2023-01-31,1588-1519
18,2023-01-31,2023-01-31~2023-02-28,주식회사 케이펙,기타 식품가공 종사원,상용직,시급,9620,무관,무관,무관,,    ,"강원도 강릉시 정원로 54 9층 (교동, 주니어타운)",중소,강원지사,2023-01-31,1588-1519
19,2023-01-31,2023-01-31~2023-02-07,엄지재가방문요양센터,재가 요양보호사,상용직,시급,9620,무관,무관,무관,,요양보호사    ,"강원도 원주시 남원로606번길 2 101동 111호 (개운동, 개운현대아파트)",중소,강원지사,2023-01-31,1588-1519
20,2023-01-31,2023-01-31~2023-03-31,청주우편집중국,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,9620,무관,0년개월,고졸,,    ,충청북도 청주시 흥덕구 수곡2동 619,중소,충북지사,2023-02-06,1588-1519
21,2023-01-31,2023-01-31~2023-02-14,청주종합사회복지관,사회복지사(사회복지시설),상용직,시급,9620,무관,무관,초대졸,가족·사회·복지학,    ,충청북도 청주시 흥덕구 1순환로 392 청주종합사회복지관,중소,충북지사,2023-02-01,1588-1519
22,2023-01-31,2023-01-31~2023-02-06,치문초등학교,보육 교사,상용직,월급,1074000,무관,0년개월,무관,,    ,전라북도 김제시 백구면 유강11길 43 1,대기업,전북지사,2023-01-31,1588-1519
