글번호,노동지청명,사업장명,공사장명,인정일
1,안산,(주)KT,(주)케이티 안산지사,2018-01-12
2,안산,동부건설(주)안산소각사업소,,2018-01-12
3,대구서부,오양글러브,,2018-01-16
4,대구서부,에코-텍,,2018-01-16
5,대구서부,(주)협성,,2018-01-16
6,대구서부,금성산업포장,,2018-01-16
7,대구서부,(주)영일랩스,,2018-01-16
8,대구서부,영일엔지니어링(주),,2018-01-16
9,대구서부,주식회사혜성섬유,,2018-01-16
10,경기,(주)샤인윈도우패션,,2018-01-16
11,경기,플러스이엔지(주),,2018-01-16
12,경기,(주)델코코,,2018-01-16
13,경기,(주)대석PROTO,,2018-01-16
14,경기,(주)삼광정밀,,2018-01-16
15,경기,(주)삼표산업오산공장,,2018-01-16
16,경기,(주)시대산업,,2018-01-16
17,경기,기원정밀주식회사,,2018-01-16
18,경기,기원정밀주식회사,,2018-01-16
19,평택,데코밸리(주),,2018-01-16
20,경기,주식회사에이치엘사이언스,,2018-01-16
21,경기,(주)유일프리텍,,2018-01-16
22,대구서부,환경관리주식회사달성사업소,,2018-01-16
23,경기,한화호텔앤드리조트(주),JNTS점,2018-01-16
24,평택,금성자동차공업사,,2018-01-16
25,부천,성일식품,,2018-01-17
26,부천,（주）대성울트라소닉,,2018-01-17
27,부천,상신공업,,2018-01-17
28,부천,(주)대영벤드,,2018-01-17
29,부천,대곶점기아오토큐,,2018-01-17
30,부천,피엔알테크놀러지(주),,2018-01-17
31,강릉,삼흥수산식품(주),,2018-01-17
32,영월,신흥중기(주),,2018-01-17
33,강릉,(주)스타벅스커피코리아,,2018-01-17
34,포항,（주）솔리드테크,,2018-01-17
35,대구청,(주)참푸드팜,,2018-01-17
36,대구청,주식회사동호,,2018-01-17
37,대구청,(주)에이치알다인-화신,,2018-01-17
38,울산,주식회사유승정공,,2018-01-17
39,대구청,（주）아이브이티,,2018-01-17
40,울산,스칸젯매크론(주),,2018-01-17
41,대구청,(주)태웅-진량휴먼시아,,2018-01-17
42,청주,도원테크주식회사,,2018-01-18
43,청주,대승산업,,2018-01-18
44,충주,덕영산업(주),,2018-01-18
45,충주,동화산업(주)/제조업,,2018-01-18
46,충주,(주)전산텍스,,2018-01-18
47,청주,(주)일산금속,,2018-01-18
48,청주,승현기업(주),,2018-01-18
49,청주,(주)대우에스티,,2018-01-18
50,청주,(주)청주석회,,2018-01-18
51,영주,현대레미콘(주),,2018-01-18
52,부산동부,존크레인코리아（주）,,2018-01-18
53,부산북부,태광금속(주),,2018-01-18
54,부산북부,(주)경산테크,,2018-01-18
55,영주,(주)두리코씨앤티,,2018-01-18
56,구미,(주)테크로스환경서비스(LG이노텍구미1공장),,2018-01-18
57,구미,(주）태웅-옥계우미린,,2018-01-18
58,구미,(주)영일에이치오엠/천년나무2단지관리사무소,,2018-01-18
59,구미,(주)테크로스환경서비스(LG이노텍구미2공장),,2018-01-18
60,대전청,(주)우길두산신성아파트관리사무소,,2018-01-18
61,구미,(주)테크로스환경서비스(LG이노텍구미3공장),,2018-01-18
62,대전청,엄사비사벌입주자대표회의,,2018-01-18
63,구미,(주)행성사김천공장,,2018-01-18
64,구미,(주)신세계푸드,(주)신세계푸드,2018-01-18
65,서울청,(주)아이디에프(IDF),,2018-01-19
66,서울청,주식회사불광미디어,,2018-01-19
67,광주청,창성정밀(주),,2018-01-19
68,서울청,(주）일간투데이,,2018-01-19
69,서울동부,서울특별시강동구도시관리공단(주차),"서울특별시강동구도시관리공단(문화·체육시설,도서관)",2018-01-23
70,서울동부,서울특별시강동구도시관리공단(주차),"서울특별시강동구도시관리공단(문화·체육시설,도서관)",2018-01-23
71,경기,(주)삼표산업용인공장,,2018-01-25
72,경기,모돈상사,,2018-01-25
73,창원,(주)에스제이에이치,,2018-01-25
74,창원,해성테크,,2018-01-25
75,창원,(주)에이치엠씨,,2018-01-25
