연번,시설물명,인증대상,인증구분,등급,인증번호,지역코드,시군구,인증발급일,인증만료일,사업장구분,인증만료(취소)여부
1,성모의지,건축물,예비,최우수,360,대구광역시,동구,2014-08-22,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
2,위앤미㈜ 감귤가공공장,건축물,예비,우수,373,제주특별자치도,서귀포시,2014-10-13,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
3,지에스피㈜,건축물,예비,우수,395,경기도,안양시,2014-12-12,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
4,㈜삼구팔구,건축물,예비,우수,396,광주광역시,광산구,2014-12-12,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
5,㈜대동소방,건축물,예비,우수,403,경기도,김포시,2014-12-29,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
6,㈜내일식품 음성공장,건축물,예비,우수,404,충청북도,음성군,2014-12-29,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
7,(가칭)THE VERSI(벗이) 미술관,건축물,예비,우수,440,경기도,용인시,2015-05-06,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
8,성모의지,건축물,본,최우수,176,대구광역시,동구,2015-07-01,2020-06-30,민간,만료
9,(사)화순사랑,건축물,예비,우수,465,전라남도,화순군,2015-07-31,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
10,㈜유진택시,건축물,예비,우수,470,대전광역시,서구,2015-09-03,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
11,㈜나누리 예산공장,건축물,예비,우수,471,충청남도,예산군,2015-09-03,본인증 교부 전 또는 사용승인 후 1년 이내,민간,
12,자양 공공힐링센터,건축물,예비,우수,488,서울특별시,광진구,2015-10-15,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
13,3-3생활권 복합커뮤니티센터,건축물,예비,우수,491,세종특별자치시,소담동,2015-10-21,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
14,㈜삼구팔구,건축물,본,우수,206,광주광역시,광산구,2015-10-28,2020-10-27,민간,취소
15,(사)화순사랑,건축물,본,우수,208,전라남도,화순군,2015-12-01,2020-11-30,민간,취소
16,(가칭)동희학교,건축물,예비,우수,519,인천광역시,남동구,2015-12-22,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
17,아트 뮤지엄 벗이,건축물,본,우수,216,경기도,용인시,2015-12-28,2020-12-27,민간,만료
18,㈜내일식품 음성공장,건축물,본,우수,217,충청북도,음성군,2015-12-30,2020-12-29,민간,만료
19,반송3동 경로당,건축물,예비,우수,563,부산광역시,해운대구,2016-02-25,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
20,반송 놀이센터,건축물,예비,우수,564,부산광역시,해운대구,2016-02-25,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
21,부평6동 주민센터,건축물,예비,우수,565,인천광역시,부평구,2016-02-25,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
22,(가칭)역세3초등학교,건축물,예비,우수,566,경기도,광명시,2016-02-25,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
23,조동8리 경로당,건축물,예비,우수,573,강원도,정선군,2016-03-11,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
24,기형도 문학관,건축물,예비,우수,574,경기도,광명시,2016-03-11,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
25,반구공영주차장,건축물,예비,우수,584,울산광역시,중구,2016-03-17,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
26,(가칭)천안불무유치원,건축물,예비,우수,585,충청남도,천안시,2016-03-17,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
27,경기서부융복합지원센터,건축물,예비,우수,586,경기도,시흥시,2016-03-17,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
28,"평택시농업체험장(방문자센터, 관리창고동, 화장실 1, 화장실 2)",건축물,예비,우수,599,경기도,평택시,2016-03-30,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
29,중왕리 선착장 공중화장실,건축물,예비,우수,600,충청남도,서산시,2016-03-30,본인증 교부 전 또는 사용승인 후 1년 이내,공공,
