연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2023-04-29,2023-04-29~2023-05-12,(주)삼신상사,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,월급,2011000,무관,0년개월,무관,,    ,경기도 화성시 정남면 만년로98번길 47 2층,중소,경기지역본부,2023-05-02,1588-1519
2,2023-04-28,2023-04-28~2023-06-01,티라미수,제과·제빵원,상용직,시급,9620,무관,0년개월,무관,,    ,강원도 춘천시 효자로 74-1 (효자동),개인,강원지사,2023-04-28,1588-1519
3,2023-04-28,2023-04-28~2023-04-28,서진산업(주),"엑스트라,소품·무대의상 관리 등 기타 연극·영화·방송 종사원",상용직,월급,1003000,무관,무관,무관,,    ,경기도 군포시 산본동 1026-33,중소,경기서부지사,2023-04-28,1588-1519
4,2023-04-28,2023-04-28~2023-06-30,대전지방고용노동청,직업상담사,상용직,월급,1931520,무관,무관,대졸,,    ,"대전광역시 서구 둔산북로90번길 34 2층, 고용관리과 (둔산동)",중소,충북지사,2023-04-28,1588-1519
5,2023-04-28,2023-04-28~2023-06-30,식품의약품안전평가원,사무 보조원(공공기관),계약직,월급,2010580,무관,0년개월,무관,,    ,충청북도 청주시 흥덕구 오송읍 오송생명2로 187 식품의약품안전평가원 사전상담과,중소,충북지사,2023-04-28,1588-1519
6,2023-04-28,2023-04-28~2023-05-15,(주)사임당화장품,주입·포장·상표부착기 등 기타 기계 조작원,상용직,월급,2010580,무관,0년개월,무관,,    ,"충청북도 청주시 청원구 오창읍 양청송대길 143 (송대리), 사임당화장품",중소,충북지사,2023-04-28,1588-1519
7,2023-04-28,2023-04-28~2023-05-31,에스케이아이이테크놀로지주식회사,사무 보조원(일반사업체),계약직,연봉,28000000,무관,무관,무관,,    ,충청북도 증평군 증평읍 미암로 82-41 1071,중소,충북지사,2023-04-28,1588-1519
8,2023-04-28,2023-04-28~2023-05-04,군산여자고등학교,환경 미화원,상용직,시급,9620,무관,0년개월,무관,,    ,전라북도 군산시 월명1길 16 (월명동),"공사,공공",전북지사,2023-05-03,1588-1519
9,2023-04-28,2023-04-28~2023-05-04,제주테크노파크,사무 보조원(공공기관),계약직,연봉,23400000,무관,0년개월,무관,,    ,"제주특별자치도 제주시 중앙로 217 (이도이동), 제주벤처마루 9층","공사,공공",제주지사,2023-05-04,1588-1519
10,2023-04-28,2023-04-28~2023-05-31,이노위드(주),음료 조리사(바리스타 포함),상용직,시급,9620,무관,무관,무관,,    ,광주광역시 광산구 하남산단5번로 26 (장덕동),대기업,광주지역본부,2023-05-04,1588-1519
